Frame_name,Usage,track_id,x_min_norm,y_min_norm,x_max_norm,y_max_norm,class_label,direction,confidence_detection,inference_time_detection (ms),confidence_track,inference_time_track (ms),payload_label,prob_harmful
IR_DRONE_154307_207,public,0,0.3565,0.5432,0.3814,0.5733,drone,0,0.5787,35.8,0.0000,0.0,0,0.0000
IR_DRONE_149302_139,public,0,0.3603,0.4371,0.4076,0.4878,drone,0,0.7735,11.9,0.0000,0.0,0,0.0000
IR_DRONE_151304_074,public,0,0.4870,0.6131,0.5110,0.6414,drone,0,0.5769,11.7,0.0000,0.0,0,0.0000
IR_DRONE_156309_226,public,0,0.2741,0.3715,0.3039,0.4047,drone,0,0.7173,11.3,0.0000,0.0,0,0.0000
IR_DRONE_153306_271,public,0,0.3556,0.5496,0.3798,0.5786,drone,0,0.7999,11.0,0.0000,0.0,0,0.0000
IR_DRONE_156309_232,public,0,0.2793,0.3698,0.3081,0.4022,drone,0,0.7078,10.9,0.0000,0.0,0,0.0000
IR_DRONE_153306_265,public,0,0.3556,0.5495,0.3799,0.5788,drone,0,0.7032,11.0,0.0000,0.0,0,0.0000
IR_DRONE_151304_060,public,0,0.4917,0.6133,0.5153,0.6412,drone,0,0.6084,11.6,0.0000,0.0,0,0.0000
IR_DRONE_154307_213,public,0,0.3558,0.5419,0.3814,0.5727,drone,0,0.6419,11.0,0.0000,0.0,0,0.0000
IR_DRONE_149302_105,public,0,0.2512,0.4404,0.3006,0.4960,drone,0,0.7646,11.0,0.0000,0.0,0,0.0000
IR_DRONE_144297_306,public,0,0.8403,0.3969,0.8835,0.4444,drone,0,0.5452,11.1,0.0000,0.0,0,0.0000
IR_DRONE_144297_306,public,0,0.4553,0.0557,0.5194,0.1188,drone,0,0.5426,11.1,0.0000,0.0,0,0.0000
IR_DRONE_151304_048,public,0,0.4974,0.6130,0.5214,0.6409,drone,0,0.5961,11.1,0.0000,0.0,0,0.0000
IR_DRONE_153306_259,public,0,0.3558,0.5498,0.3799,0.5789,drone,0,0.6641,10.8,0.0000,0.0,0,0.0000
IR_DRONE_149302_111,public,0,0.2642,0.4403,0.3146,0.4958,drone,0,0.7582,11.5,0.0000,0.0,0,0.0000
IR_DRONE_144297_312,public,0,0.4456,0.0580,0.5092,0.1222,drone,0,0.5464,11.4,0.0000,0.0,0,0.0000
IR_DRONE_144297_312,public,0,0.8306,0.3883,0.8735,0.4360,drone,0,0.5287,11.4,0.0000,0.0,0,0.0000
IR_BIRD_072146_114,public,0,0.2731,0.3719,0.3142,0.4194,bird,0,0.4804,11.4,0.0000,0.0,0,0.0000
IR_BIRD_072146_114,public,0,0.4497,0.2203,0.4958,0.2761,bird,0,0.4678,11.4,0.0000,0.0,0,0.0000
IR_BIRD_070144_311,public,0,0.1706,0.4993,0.2316,0.5748,bird,0,0.5325,10.9,0.0000,0.0,0,0.0000
IR_DRONE_150303_138,public,0,0.4146,0.4331,0.4617,0.4843,drone,0,0.7731,11.5,0.0000,0.0,0,0.0000
IR_BIRD_068142_248,public,0,0.4372,0.4821,0.5155,0.5644,bird,0,0.5476,11.4,0.0000,0.0,0,0.0000
IR_BIRD_071145_218,public,0,0.8966,0.5415,0.9600,0.6113,bird,0,0.4270,11.0,0.0000,0.0,0,0.0000
IR_BIRD_071145_218,public,0,0.0356,0.4930,0.0921,0.5622,bird,0,0.2732,11.0,0.0000,0.0,0,0.0000
IR_BIRD_070144_305,public,0,0.1792,0.4958,0.2482,0.5736,bird,0,0.5470,10.8,0.0000,0.0,0,0.0000
IR_BIRD_072146_100,public,0,0.2534,0.3679,0.3002,0.4215,bird,0,0.4892,11.2,0.0000,0.0,0,0.0000
IR_BIRD_072146_100,public,0,0.4119,0.2538,0.4553,0.3071,bird,0,0.4694,11.2,0.0000,0.0,0,0.0000
IR_BIRD_072146_128,public,0,0.2861,0.3725,0.3325,0.4243,bird,0,0.4950,11.2,0.0000,0.0,0,0.0000
IR_BIRD_072146_128,public,0,0.4907,0.1908,0.5344,0.2409,bird,0,0.4313,11.2,0.0000,0.0,0,0.0000
IR_BIRD_068142_260,public,0,0.4373,0.4804,0.5173,0.5668,bird,0,0.5776,11.4,0.0000,0.0,0,0.0000
IR_DRONE_150303_104,public,0,0.4152,0.4473,0.4623,0.4978,drone,0,0.7686,11.3,0.0000,0.0,0,0.0000
IR_BIRD_071145_230,public,0,0.8845,0.5412,0.9495,0.6121,bird,0,0.3192,11.2,0.0000,0.0,0,0.0000
IR_BIRD_071145_230,public,0,0.0200,0.4784,0.0753,0.5448,bird,0,0.2765,11.2,0.0000,0.0,0,0.0000
IR_BIRD_071145_224,public,0,0.8893,0.5410,0.9562,0.6123,bird,0,0.3507,11.2,0.0000,0.0,0,0.0000
IR_BIRD_071145_224,public,0,0.0301,0.4878,0.0812,0.5520,bird,0,0.2996,11.2,0.0000,0.0,0,0.0000
IR_BIRD_068142_274,public,0,0.4359,0.4784,0.5165,0.5647,bird,0,0.5537,11.4,0.0000,0.0,0,0.0000
IR_DRONE_150303_110,public,0,0.4148,0.4469,0.4621,0.4980,drone,0,0.7726,11.6,0.0000,0.0,0,0.0000
IR_DRONE_153306_073,public,0,0.3645,0.5485,0.3913,0.5791,drone,0,0.6312,11.0,0.0000,0.0,0,0.0000
IR_DRONE_156309_024,public,0,0.2382,0.4430,0.2635,0.4732,drone,0,0.7154,10.7,0.0000,0.0,0,0.0000
IR_DRONE_151304_276,public,0,0.4260,0.6010,0.4516,0.6309,drone,0,0.6356,11.1,0.0000,0.0,0,0.0000
IR_BIRD_069143_180,public,0,0.5145,0.6025,0.5841,0.6829,bird,0,0.6339,11.1,0.0000,0.0,0,0.0000
IR_DRONE_144297_138,public,0,0.5458,0.3055,0.6089,0.3634,drone,0,0.5373,11.3,0.0000,0.0,0,0.0000
IR_DRONE_144297_138,public,0,0.6022,0.6334,0.6354,0.6699,drone,0,0.4956,11.3,0.0000,0.0,0,0.0000
IR_DRONE_154307_005,public,0,0.3526,0.5441,0.3781,0.5747,drone,0,0.7784,10.8,0.0000,0.0,0,0.0000
IR_DRONE_154307_011,public,0,0.3526,0.5441,0.3781,0.5746,drone,0,0.7787,10.5,0.0000,0.0,0,0.0000
IR_BIRD_069143_194,public,0,0.5185,0.5988,0.5885,0.6800,bird,0,0.6454,11.3,0.0000,0.0,0,0.0000
IR_BIRD_068142_089,public,0,0.4362,0.4799,0.5179,0.5655,bird,0,0.4994,10.9,0.0000,0.0,0,0.0000
IR_DRONE_151304_262,public,0,0.4297,0.6014,0.4558,0.6318,drone,0,0.6242,11.1,0.0000,0.0,0,0.0000
IR_DRONE_153306_067,public,0,0.3652,0.5489,0.3916,0.5789,drone,0,0.6289,10.9,0.0000,0.0,0,0.0000
IR_DRONE_156309_030,public,0,0.2354,0.4414,0.2620,0.4727,drone,0,0.7197,10.4,0.0000,0.0,0,0.0000
IR_DRONE_156309_018,public,0,0.2414,0.4447,0.2669,0.4751,drone,0,0.7435,10.6,0.0000,0.0,0,0.0000
IR_DRONE_144297_104,public,0,0.5974,0.2920,0.6536,0.3460,drone,0,0.5424,11.0,0.0000,0.0,0,0.0000
IR_DRONE_144297_104,public,0,0.5067,0.6412,0.5362,0.6756,drone,0,0.4783,11.0,0.0000,0.0,0,0.0000
IR_DRONE_154307_039,public,0,0.3532,0.5440,0.3784,0.5744,drone,0,0.6566,10.9,0.0000,0.0,0,0.0000
IR_DRONE_149302_307,public,0,0.4165,0.4444,0.4634,0.4945,drone,0,0.7567,10.9,0.0000,0.0,0,0.0000
IR_DRONE_144297_110,public,0,0.5876,0.2946,0.6435,0.3479,drone,0,0.5375,11.0,0.0000,0.0,0,0.0000
IR_DRONE_144297_110,public,0,0.5209,0.6406,0.5489,0.6729,drone,0,0.4794,11.0,0.0000,0.0,0,0.0000
IR_DRONE_148301_135,public,0,0.2614,0.3360,0.3140,0.3901,drone,0,0.7587,10.8,0.0000,0.0,0,0.0000
IR_BIRD_070144_113,public,0,0.5542,0.4620,0.6187,0.5360,bird,0,0.5491,11.6,0.0000,0.0,0,0.0000
IR_BIRD_069143_143,public,0,0.5046,0.5991,0.5738,0.6776,bird,0,0.6708,11.2,0.0000,0.0,0,0.0000
IR_BIRD_069143_157,public,0,0.5070,0.6011,0.5764,0.6803,bird,0,0.6372,11.0,0.0000,0.0,0,0.0000
